pickup_zipcode,dropoff_zipcode,trip_time_in_secs
7086,10013,835.5
7086,10014,429.75
7086,10017,785.0
7086,10018,1020.0
7086,10019,390.0
7086,10020,420.0
7086,10021,924.0
7086,10025,1020.0
7086,10036,532.3333333333334
7086,10065,1080.0
7086,10069,605.0
7086,10103,900.0
7086,10111,600.0
7086,10119,902.6666666666666
7086,10128,197.0
7086,10154,1020.0
7086,10174,660.0
7086,10199,1218.0
7086,10282,900.0
7086,11106,1320.0
7086,11109,909.0
7086,11211,240.0
7086,11225,1989.0
7086,11419,1740.0
7086,11430,2102.0
7087,7047,900.0
7087,7086,619.5
7087,7087,303.6060606060606
7087,7093,366.0
7087,7094,181.66666666666666
7087,7114,1658.0
7087,7307,480.0
7087,10001,900.0
7087,10006,1080.0
7087,10009,1140.0
7087,10012,780.0
7087,10018,840.0
7087,10020,1050.0
7087,10022,338.0
7087,10036,480.0
7087,10065,601.0
7087,10174,1200.0
7087,11215,780.0
7087,11415,1440.0
7090,7090,655.5
7093,7032,600.0
7093,7047,1560.0
7093,7072,1110.0
7093,7087,547.3333333333334
7093,7093,143.64285714285714
7093,7643,900.0
7093,8820,480.0
7093,10011,540.0
7093,10016,420.0
7093,10018,420.0
7093,10020,621.0
7093,10023,480.0
7093,10024,480.0
7093,10025,600.0
7093,10026,960.0
7093,10028,488.0
7093,10029,480.0
7093,10032,1260.0
7093,10036,1380.0
7093,10069,435.0
7093,10075,420.0
7093,10111,480.0
7093,10119,720.0
7093,10128,389.3333333333333
7093,10165,840.0
7093,10168,1181.0
7093,10278,360.0
7093,10454,1080.0
7093,11101,960.0
7093,11211,1380.0
7093,11229,480.0
7093,11371,1410.0
7094,7047,660.0
7094,7071,870.0
7094,7072,540.0
7094,7087,243.0
7094,7094,193.21428571428572
7094,7114,1170.0
7094,7307,1740.0
7094,7603,1560.0
7094,7901,1591.0
7094,10002,360.0
7094,10003,720.0
7094,10009,972.0
7094,10011,540.0
7094,10012,600.0
7094,10023,540.0
7094,10026,780.0
7094,10075,960.0
7094,10165,300.0
7102,7102,132.2941176470588
7102,7103,480.0
7102,7107,1500.0
7103,11370,600.0
7104,10278,1140.0
7105,7002,1740.0
7105,7032,480.0
7105,7105,434.77777777777777
7105,7114,295.3333333333333
7105,10128,1126.0
7105,10173,780.0
7106,7106,840.0
7106,10119,240.0
7109,7044,1440.0
7109,7109,720.0
7109,10023,360.0
7110,7013,540.0
7110,7109,180.0
7110,7110,80.25
7111,7040,1020.0
7111,7083,420.0
7111,7111,600.0
7112,7112,540.0
7114,7002,1140.0
7114,7093,1200.0
7114,7105,510.0
7114,7108,389.0
7114,7111,1260.0
7114,7112,540.0
7114,7114,279.06363636363636
7114,7201,900.0
7114,7205,420.0
7114,7306,1260.0
7114,10002,540.0
7114,10006,1369.0
7114,10009,1800.0
7114,10012,420.0
7114,10016,1620.0
7114,10017,2665.0
7114,10022,300.0
7114,10119,1698.0
7114,10167,2595.0
7114,10278,1500.0
7201,7201,248.0
7201,7202,420.0
7202,7201,1320.0
7202,7202,555.0
7202,7203,360.0
7202,7208,1620.0
7203,7016,360.0
7203,7090,1140.0
7203,7203,528.0
7203,7204,210.0
7204,7204,320.0
7205,7205,570.0
7206,7114,879.0
7206,7201,960.0
7206,7206,260.0
7206,8902,2460.0
7208,7108,1020.0
7208,7208,1320.0
7302,7002,2160.0
7302,7030,968.5
7302,7114,960.0
7302,7302,65.05511811023622
7302,7305,960.0
7302,7306,151.5
7302,7307,343.0
7302,7310,151.6
7302,10003,1120.5
7302,10013,570.0
7302,10018,1740.0
7302,10022,1622.0
7302,10119,690.0
7302,10280,1433.0
7302,10282,600.0
7302,11209,1560.0
7302,11430,1620.0
7304,7304,124.0
7304,7306,420.0
7304,10003,992.0
7304,10469,4080.0
7305,7105,720.0
7305,7114,840.0
7305,7304,180.0
7305,7305,373.6363636363636
7305,10007,360.0
7305,10013,480.0
7305,10021,1140.0
7305,10028,480.0
7305,10036,1080.0
